id,word,weight
340,buena,221.28
341,quiere,221.12
342,aquella,221.04
343,programa,220.37
344,palabras,219.48
345,internacional,219.24
346,van,218.91
347,esas,218.81
348,segunda,218.69
349,empresa,218.28
350,puesto,217.97
351,ahí,217.93
352,propia,217.28
353,m,216.95
354,libro,216.67
355,igual,215.98
356,político,215.83
357,persona,214.71
358,últimos,214.27
359,ellas,213.91
360,total,213.28
361,creo,213.05
362,tengo,212.46
363,dios,212.2
364,c,212.01
365,española,210.67
366,condiciones,210.37
367,méxico,210.3
368,fuerza,210.29
369,solo,209.82
370,único,209.74
371,acción,208.37
372,amor,207.72
373,policía,207.12
374,puerta,206.49
375,pesar,206.05
376,zona,205.59
377,sabe,205.54
378,calle,205.36
379,interior,204.49
380,tampoco,203.29
381,música,202.99
382,ningún,202.95
383,vista,202.88
384,campo,201.72
385,buen,201.6
386,hubiera,201.58
387,saber,200.86
388,obras,200.41
389,razón,200.17
390,ex,200.06
391,niños,199.58
392,presencia,199.43
393,tema,199.25
394,dinero,199.17
395,comisión,198.94
396,antonio,198.86
397,servicio,198.73
398,hijo,198.59
399,última,198.4
400,ciento,197.6
401,estoy,197.53
402,hablar,197.47
403,dio,197.45
404,minutos,196.72
405,producción,195.82
406,camino,195.53
407,seis,195.41
408,quién,195.07
409,fondo,195.0
410,dirección,194.73
411,papel,194.69
412,demás,194.17
413,barcelona,194.1
414,idea,194.1
415,especial,193.09
416,diferentes,192.56
417,dado,192.0
418,base,191.68
419,capital,191.53
420,ambos,191.25
421,europa,191.21
422,libertad,190.87
423,relaciones,190.45
424,espacio,189.06
425,medios,188.96
426,ir,188.49
427,actual,188.24
428,población,187.91
429,empresas,187.81
430,estudio,187.73
431,salud,187.66
432,servicios,187.12
433,haya,186.99
434,principio,186.65
435,siendo,186.6
436,cultura,186.04
437,anterior,185.56
438,alto,185.54
439,media,185.45
440,mediante,185.18
441,primeros,184.8
442,arte,184.61
443,paz,184.57
444,sector,184.55
445,imagen,184.25
446,medida,184.19
447,deben,183.58
448,datos,183.55
449,consejo,183.32
450,personal,183.07
451,interés,183.0
452,julio,183.0
453,grupos,182.63
454,miembros,182.5
455,ninguna,182.36
456,existe,182.08
457,cara,181.93
458,edad,181.77
459,etc,181.62
460,movimiento,181.54
461,visto,181.41
462,llegó,180.62
463,puntos,180.18
464,actividad,178.83
465,bueno,178.65
466,uso,178.52
467,niño,178.01
468,difícil,177.69
469,joven,177.13
470,futuro,176.9
471,aquellos,176.81
472,mes,176.7
473,pronto,176.54
474,soy,176.34
475,hacía,175.99
476,nuevos,175.85
477,nuestros,175.59
478,estaban,174.97
479,posibilidad,174.43
480,sigue,174.22
481,cerca,173.67
482,resultados,173.13
483,educación,172.57
484,atención,172.38
485,gonzález,172.26
486,capacidad,171.92
487,efecto,171.79
488,necesario,171.4
489,valor,171.12
490,aire,170.81
491,investigación,170.43
492,siguiente,169.71
493,figura,169.5
494,central,168.98
495,comunidad,168.75
496,necesidad,168.45
497,serie,168.3
498,organización,168.11
499,nuevas,168.05
500,calidad,167.78
501,economía,167.49
502,carácter,167.33
503,jefe,167.31
504,estamos,167.11
505,prensa,166.96
506,control,165.3
507,sociales,165.16
508,universidad,164.88
509,militar,164.85
510,cabo,164.69
511,diez,164.61
512,fuerzas,164.56
513,congreso,164.35
514,ésta,164.14
515,hijos,163.83
516,justicia,163.76
517,mundial,163.62
518,dólares,163.47
519,juego,163.36
520,económica,162.85
521,políticos,162.71
522,duda,162.69
523,recursos,162.56
524,pública,162.39
525,crisis,162.29
526,próximo,162.08
527,tenemos,162.01
528,decisión,161.8
529,varias,161.62
530,popular,160.87
531,tenido,160.41
532,apenas,160.2
533,época,159.66
534,banco,159.55
535,presente,158.69
536,menor,158.24
537,quiero,157.67
538,pasar,157.63
539,resultado,157.51
540,televisión,156.91
541,encuentra,156.22
542,gracias,155.96
543,ministerio,155.88
544,conjunto,155.57
545,defensa,155.46
546,alguien,154.86
547,queda,154.69
548,hacen,154.09
549,pasa,154.05
550,resto,153.16
551,causa,152.61
552,seguir,152.47
553,allá,151.77
554,palabra,151.35
555,voy,151.2
556,cuya,151.07
557,vamos,150.99
558,mar,150.9
559,estudios,150.83
560,derechos,150.68
561,importancia,150.55
562,cuales,150.5
563,contrario,150.48
564,manuel,150.26
565,garcía,149.78
566,fuerte,149.63
567,sol,149.6
568,jóvenes,149.39
569,apoyo,149.29
570,habría,149.18
571,civil,149.17
572,miguel,149.15
573,pedro,149.04
574,partidos,148.97
575,libre,148.4
576,fuentes,148.08
577,administración,147.72
578,común,147.72
579,dejar,147.47
580,cine,147.43
581,salir,147.13
582,comunicación,147.05
583,b,146.87
584,experiencia,146.84
585,demasiado,146.68
586,plan,146.03
587,respuesta,145.9
588,energía,145.78
589,izquierda,145.72
590,función,145.17
591,principal,144.69
592,superior,144.29
593,naturaleza,144.22
594,podemos,143.93
595,unión,143.76
596,especialmente,143.75
597,rey,143.59
598,domingo,143.04
599,favor,143.01
600,cantidad,142.97
601,elecciones,142.77
602,clase,142.45
603,productos,142.44
604,españoles,142.19
605,conocer,142.11
606,teatro,141.99
607,importantes,141.56
608,evitar,141.5
609,color,141.42
610,actividades,141.34
611,mesa,141.3
612,p,141.04
613,decía,140.65
614,cuyo,140.56
615,debido,140.13
616,alta,140.12
617,francisco,140.01
618,secretario,139.95
619,objeto,139.85
620,quizá,139.76
621,posición,138.75
622,parecía,138.64
623,natural,138.6
624,elementos,138.52
625,hubo,138.38
626,objetivo,138.28
627,formas,138.19
628,única,138.15
629,pueda,138.05
630,origen,138.01
631,blanco,137.88
632,mismos,137.69
633,lleva,137.3
634,económico,137.17
635,opinión,137.17
636,ayuda,137.11
637,oficial,137.02
638,silencio,136.97
639,buenos,136.87
640,pensar,136.86
641,república,136.69
642,dónde,136.64
643,sangre,136.32
644,encuentro,135.81
645,siquiera,135.73
646,autor,135.52
647,reunión,135.08
648,haciendo,134.91
649,suelo,134.8
650,muestra,134.78
651,viejo,134.75
652,encima,134.51
653,resulta,134.35
654,tomar,134.32
655,bastante,134.29
656,siete,134.26
657,lucha,133.94
658,pudo,133.74
659,amigos,133.51
660,línea,133.31
661,sur,133.28
662,pocos,132.99
663,medidas,132.57
664,norte,132.23
665,partes,131.99
666,iglesia,131.75
667,tratamiento,131.29
668,existencia,131.07
669,cargo,130.67
670,grande,130.32
671,américa,130.27
672,boca,129.97
673,plaza,129.73
674,pie,129.65
675,trabajadores,129.28
676,poner,129.27
677,existen,128.69
678,viene,128.67
679,permite,128.52
680,análisis,128.17
681,argentina,128.16
682,acto,127.95
683,hechos,127.59
684,tiempos,127.12
685,políticas,126.41
686,radio,126.31
687,puedo,126.05
688,crecimiento,125.86
689,francia,125.8
690,compañía,125.7
691,amigo,125.69
692,autoridades,125.68
693,realizar,125.63
694,acciones,125.03
695,padres,125.03
696,diario,124.96
697,ve,124.92
698,derecha,124.86
699,ambiente,124.54
700,i,124.41
701,habrá,124.22
702,precisamente,124.08
703,enfermedad,124.06
704,especie,123.9
